,source,interaction,target,directed,pmid,ndex:citation
0,1433S,in-complex-with,FKBP5,,,
1,1433S,in-complex-with,GCR,,,
2,1433S,in-complex-with,HS90A,,,
3,AKT1,neighbor-of,GCR,,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
4,AKT1,neighbor-of,NCOA1,,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
5,AKT1,controls-expression-of,PCKGM,true,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
6,AKT1,neighbor-of,PCKGM,,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
7,ATTY,neighbor-of,GCR,,"""18337589,2905764""","""pmid:18337589,pmid:2905764"""
8,BAX,neighbor-of,GCR,,"""11080152""","""pmid:11080152"""
9,BAX,neighbor-of,P53,,"""11080152""","""pmid:11080152"""
10,CASB,neighbor-of,GCR,,"""8878484""","""pmid:8878484"""
11,CASB,neighbor-of,STA5A,,"""8878484""","""pmid:8878484"""
12,CASB,neighbor-of,STA5B,,"""8878484""","""pmid:8878484"""
13,CBP,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
14,CBP,neighbor-of,CSF2,,"""10958685""","""pmid:10958685"""
15,CBP,neighbor-of,Cbp/p300,,"""10825196,10958685,17440046""","""pmid:10825196,pmid:10958685,pmid:17440046"""
16,CBP,neighbor-of,EP300,,"""10825196,10958685,17440046""","""pmid:10825196,pmid:10958685,pmid:17440046"""
17,CBP,in-complex-with,GCR,,,
18,CBP,in-complex-with,HDAC2,,,
19,CBP,controls-expression-of,K1C14,true,"""10825196""","""pmid:10825196"""
20,CBP,neighbor-of,K1C14,,"""10825196""","""pmid:10825196"""
21,CBP,in-complex-with,NFKB1,,,
22,CBP,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
23,CBP,neighbor-of,SGK1,,"""17440046""","""pmid:17440046"""
24,CBP,neighbor-of,SMCA4,,"""17440046""","""pmid:17440046"""
25,CBP,neighbor-of,SMRC1,,"""17440046""","""pmid:17440046"""
26,CBP,neighbor-of,SMRC2,,"""17440046""","""pmid:17440046"""
27,CBP,neighbor-of,SMRD1,,"""17440046""","""pmid:17440046"""
28,CBP,in-complex-with,TF65,,,
29,CD5R1,in-complex-with,CDK5,,,
30,CD5R1,controls-phosphorylation-of,GCR,true,"""17440046""","""pmid:17440046"""
31,CDK5,controls-phosphorylation-of,GCR,true,"""17440046""","""pmid:17440046"""
32,CDN1A,neighbor-of,GCR,,"""11080152""","""pmid:11080152"""
33,CDN1A,neighbor-of,P53,,"""11080152""","""pmid:11080152"""
34,cortisol,chemical-affects,ATTY,true,"""18337589,2905764""","""pmid:18337589,pmid:2905764"""
35,cortisol,chemical-affects,BAX,true,"""11080152""","""pmid:11080152"""
36,cortisol,chemical-affects,CASB,true,"""8878484""","""pmid:8878484"""
37,cortisol,chemical-affects,CBP,true,,
38,cortisol,chemical-affects,CDN1A,true,"""11080152""","""pmid:11080152"""
39,cortisol,chemical-affects,COLI,true,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
40,cortisol,chemical-affects,CSF2,true,"""10958685""","""pmid:10958685"""
41,cortisol,chemical-affects,Cbp/p300,true,,
42,cortisol,chemical-affects,EGR1,true,"""15834420""","""pmid:15834420"""
43,cortisol,chemical-affects,EP300,true,,
44,cortisol,chemical-affects,FCG2A,true,"""10820245""","""pmid:10820245"""
45,cortisol,chemical-affects,FETA,true,"""1708774""","""pmid:1708774"""
46,cortisol,chemical-affects,FIBG,true,"""9388192""","""pmid:9388192"""
47,cortisol,chemical-affects,FKBP4,true,,
48,cortisol,chemical-affects,FOS,true,,
49,cortisol,chemical-affects,GCR,true,,
50,cortisol,chemical-affects,GLHA,true,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
51,cortisol,chemical-affects,HDAC2,true,,
52,cortisol,chemical-affects,HS90A,true,,
53,cortisol,chemical-affects,ICAM1,true,"""10760263""","""pmid:10760263"""
54,cortisol,chemical-affects,IFNG,true,"""7759501""","""pmid:7759501"""
55,cortisol,chemical-affects,IL13,true,"""15826950""","""pmid:15826950"""
56,cortisol,chemical-affects,IL2,true,"""1740658""","""pmid:1740658"""
57,cortisol,chemical-affects,IL4,true,"""10623828""","""pmid:10623828"""
58,cortisol,chemical-affects,IL5,true,"""15826950""","""pmid:15826950"""
59,cortisol,chemical-affects,IL6,true,"""8290595""","""pmid:8290595"""
60,cortisol,chemical-affects,IL8,true,"""10760263""","""pmid:10760263"""
61,cortisol,chemical-affects,IRF1,true,"""10820245""","""pmid:10820245"""
62,cortisol,chemical-affects,JUN,true,,
63,cortisol,chemical-affects,K1C14,true,"""10825196""","""pmid:10825196"""
64,cortisol,chemical-affects,K1C17,true,"""10825196""","""pmid:10825196"""
65,cortisol,chemical-affects,K2C5,true,"""10825196""","""pmid:10825196"""
66,cortisol,chemical-affects,LYAM2,true,"""10760263""","""pmid:10760263"""
67,cortisol,chemical-affects,MDM2,true,"""11562347""","""pmid:11562347"""
68,cortisol,chemical-affects,MK08,true,"""10974006""","""pmid:10974006"""
69,cortisol,chemical-affects,MMP1,true,"""2169351,2169352,2169353""","""pmid:2169351,pmid:2169352,pmid:2169353"""
70,cortisol,chemical-affects,NCOA1,true,,
71,cortisol,chemical-affects,NCOA2,true,,
72,cortisol,chemical-affects,NFKB1,true,,
73,cortisol,chemical-affects,NR1I3,true,"""12511605""","""pmid:12511605"""
74,cortisol,chemical-affects,OSTCN,true,"""9388207""","""pmid:9388207"""
75,cortisol,chemical-affects,P53,true,,
76,cortisol,chemical-affects,PCKGM,true,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
77,cortisol,chemical-affects,PRL,true,"""9426156,9722596""","""pmid:9426156,pmid:9722596"""
78,cortisol,chemical-affects,SGK1,true,"""17440046""","""pmid:17440046"""
79,cortisol,chemical-affects,SMCA4,true,,
80,cortisol,chemical-affects,SMRC1,true,,
81,cortisol,chemical-affects,SMRC2,true,,
82,cortisol,chemical-affects,SMRD1,true,,
83,cortisol,chemical-affects,TBX21,true,"""17215482""","""pmid:17215482"""
84,cortisol,chemical-affects,TF65,true,,
85,cortisol,chemical-affects,VIPR1,true,"""8702844""","""pmid:8702844"""
86,COLI,neighbor-of,GCR,,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
87,COLI,neighbor-of,NR4A1,,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
88,CREB1,neighbor-of,GCR,,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
89,CREB1,controls-expression-of,GLHA,true,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
90,CREB1,neighbor-of,GLHA,,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
91,CSF2,neighbor-of,Cbp/p300,,"""10958685""","""pmid:10958685"""
92,CSF2,neighbor-of,EP300,,"""10958685""","""pmid:10958685"""
93,CSF2,neighbor-of,GCR,,"""10958685""","""pmid:10958685"""
94,CSF2,neighbor-of,HDAC2,,"""10958685""","""pmid:10958685"""
95,CSF2,neighbor-of,NFKB1,,"""10958685""","""pmid:10958685"""
96,CSF2,neighbor-of,TF65,,"""10958685""","""pmid:10958685"""
97,Cbp/p300,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
