Gene1	Gene2	pdi	ppi
AHR	CYP1A1	1	0
PHOX2A	DBH	1	0
ATF1	GSN	1	0
ATF1	TEAD1	1	0
PRDM1	CIITA	1	0
RUNX2	MMP13	1	0
RUNX2	TNFRSF11B	1	0
RUNX1	CSF1R	1	0
CDX2	GUCY2C	1	0
CDX2	SI	1	0
CEBPA	PPARG	1	0
CEBPB	IL6	1	0
CEBPB	IL8	1	0
CEBPB	TNFRSF10B	1	0
CREB1	BDNF	1	0
CREB1	CFTR	1	0
CREB1	FOS	1	0
CREB1	IBSP	1	0
CREB1	MITF	1	0
CREB1	PSEN1	1	0
CREB1	TRH	1	0
ATF2	FOS	1	0
ATF2	RB1	1	0
CREM	CCNA2	1	0
NKX2-5	NPPA	1	0
CUX1	CYBB	1	0
E2F1	CCND1	1	0
E2F1	CCNA2	1	0
E2F1	CCNE1	1	0
E2F1	CDK1	1	0
E2F1	CDC6	1	0
E2F1	CDC25A	1	0
E2F1	CDKN2A	1	0
E2F1	MYC	1	0
E2F1	RB1	1	0
E2F1	RBL1	1	0
E2F1	SRPR	1	0
E2F3	CDC6	1	0
E2F4	MYC	1	0
E2F4	RBL1	1	0
EGR1	LDLR	1	0
EGR1	NAB2	1	0
EGR1	SREBF1	1	0
EGR2	FASLG	1	0
EGR3	FASLG	1	0
ELF3	SPRR1B	1	0
ELF3	TGFBR2	1	0
ELK1	PSEN1	1	0
ELK1	SRF	1	0
EP300	CCND1	1	0
ETS1	PTHLH	1	0
ETS2	CCND1	1	0
ETS2	PSEN1	1	0
FOXM1	CCNB1	1	0
FOXO1	IGFBP1	1	0
FOXO1	PDK4	1	0
FOXO3	FASLG	1	0
FOXO3	ID1	1	0
FOXO3	BCL2L11	1	0
FLI1	PKD1	1	0
FOS	FOSL1	1	0
NR5A2	CYP7A1	1	0
NR5A2	CYP19A1	1	0
NR5A1	CYP19A1	1	0
GATA1	EPO	1	0
GATA1	EPOR	1	0
GATA1	HMBS	1	0
GATA1	LMO2	1	0
GATA3	IL4	1	0
GATA3	IL5	1	0
GATA6	HNF4A	1	0
GLI1	CCND2	1	0
GLI1	PTCH1	1	0
GLI3	GLI1	1	0
GLI3	PTCH1	1	0
HIF1A	VEGFA	1	0
FOXA1	NRIP1	1	0
FOXA2	PDX1	1	0
HNF4A	CYP2D6	1	0
HNF4A	EPO	1	0
HNF4A	HNF1A	1	0
HOXA5	PGR	1	0
HOXA10	EMX2	1	0
HSF1	ABCB1	1	0
IRF1	IFNA1	1	0
IRF1	IFNB1	1	0
IRF1	IL12B	1	0
IRF1	ISG20	1	0
IRF1	CIITA	1	0
IRF1	CCL5	1	0
IRF1	TAP1	1	0
IRF2	CIITA	1	0
IRF7	ISG15	1	0
JUN	GNRHR	1	0
JUN	CD82	1	0
JUN	PENK	1	0
JUN	TP53	1	0
JUN	FOSL1	1	0
JUNB	IL2	1	0
JUNB	FOSL1	1	0
JUND	IL6	1	0
LMX1B	NPHS2	1	0
SMAD3	COL1A2	1	0
SMAD3	SMAD7	1	0
SMAD3	SERPINE1	1	0
SMAD3	PTHLH	1	0
SMAD3	TGFB2	1	0
SMAD4	SMAD7	1	0
SMAD4	SERPINE1	1	0
MEF2A	MYOG	1	0
MITF	BCL2	1	0
MITF	MC1R	1	0
MITF	SILV	1	0
MITF	TYR	1	0
MITF	TYRP1	1	0
MYB	CDK1	1	0
MYC	APC	1	0
MYC	BAX	1	0
MYC	CDC25A	1	0
MYC	CDK4	1	0
MYC	CEBPA	1	0
MYC	FASN	1	0
MYC	GAPDH	1	0
MYC	MSH2	1	0
MYC	NBN	1	0
MYC	NME1	1	0
MYC	NPM1	1	0
MYC	PCNA	1	0
MYC	RBL1	1	0
MYC	TXN	1	0
MYC	USP1	1	0
MYC	VCP	1	0
MYC	YY1	1	0
MYC	SLBP	1	0
MYC	ARHGEF7	1	0
MYC	DDX18	1	0
MYC	HIST1H2BJ	1	0
MYC	TRIB1	1	0
MYC	SLC2A4RG	1	0
MYOD1	AKT2	1	0
NFATC1	IL4	1	0
