Zea_mays	"Maize, 4577, Zea mays"	Z. mays
Xenopus_laevis	"African clawed frog, 8355, Xenopus laevis"	X. laevis
Saccharomyces_cerevisiae_S288c	"Baker's yeast, 559292"	S. cerevisiae
Rattus_norvegicus	"Norway rat, 10116, Rattus norvegicus"	R. norvegicus
Mus_musculus	"House mouse, 10090, Mus musculus"	M. musculus
Human_papillomavirus_16	"HPV, 10566, Human papillomavirus"	HPV
Human_Immunodeficiency_Virus_2	"HIV-2, 11709, Human immunodeficiency virus 2"	HIV-2
Human_Immunodeficiency_Virus_1	"HIV-1, 11676, Human immunodeficiency virus 1"	HIV-1
Drosophila_melanogaster	"Fruit fly, 7227, Drosophila melanogaster"	D. melanogaster
Danio_rerio	"Zebrafish, 7955, Danio rerio"	D. rerio
Caenorhabditis_elegans	"Roundworm, 6239, Cenorhabditis elegans"	C. elegans
Arabidopsis_thaliana_Columbia	"Thale cress, 3702, Arabidopsis thaliana"	A. thaliana
Anopheles_gambiae_PEST	"African mosquito, 180454, Anopheles gambiae"	A. gambiae
Homo_sapiens	"Human, 9606, Homo sapiens"	H. sapiens
