Pathway	Description
hsa05140	Leishmaniasis - Homo sapiens (human)
hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)
hsa04150	mTOR signaling pathway - Homo sapiens (human)
hsa05205	Proteoglycans in cancer - Homo sapiens (human)
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)
hsa04612	Antigen processing and presentation - Homo sapiens (human)
hsa04931	Insulin resistance - Homo sapiens (human)
hsa04911	Insulin secretion - Homo sapiens (human)
hsa04520	Adherens junction - Homo sapiens (human)
hsa01523	Antifolate resistance - Homo sapiens (human)
hsa04152	AMPK signaling pathway - Homo sapiens (human)
hsa03018	RNA degradation - Homo sapiens (human)
hsa05150	Staphylococcus aureus infection - Homo sapiens (human)
hsa04110	Cell cycle - Homo sapiens (human)
hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)
hsa04970	Salivary secretion - Homo sapiens (human)
hsa04730	Long-term depression - Homo sapiens (human)
hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)
hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)
hsa05219	Bladder cancer - Homo sapiens (human)
hsa04144	Endocytosis - Homo sapiens (human)
hsa04657	IL-17 signaling pathway - Homo sapiens (human)
hsa04340	Hedgehog signaling pathway - Homo sapiens (human)
hsa01522	Endocrine resistance - Homo sapiens (human)
hsa04662	B cell receptor signaling pathway - Homo sapiens (human)
hsa05012	Parkinson's disease - Homo sapiens (human)
hsa05216	Thyroid cancer - Homo sapiens (human)
hsa04611	Platelet activation - Homo sapiens (human)
hsa04020	Calcium signaling pathway - Homo sapiens (human)
hsa03440	Homologous recombination - Homo sapiens (human)
hsa01524	Platinum drug resistance - Homo sapiens (human)
hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)
hsa04918	Thyroid hormone synthesis - Homo sapiens (human)
hsa04917	Prolactin signaling pathway - Homo sapiens (human)
hsa04211	Longevity regulating pathway - Homo sapiens (human)
hsa04066	HIF-1 signaling pathway - Homo sapiens (human)
hsa05211	Renal cell carcinoma - Homo sapiens (human)
hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)
hsa05032	Morphine addiction - Homo sapiens (human)
hsa04720	Long-term potentiation - Homo sapiens (human)
hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)
hsa04514	Cell adhesion molecules (CAMs) - Homo sapiens (human)
hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
hsa04740	Olfactory transduction - Homo sapiens (human)
hsa05213	Endometrial cancer - Homo sapiens (human)
hsa04721	Synaptic vesicle cycle - Homo sapiens (human)
hsa04512	ECM-receptor interaction - Homo sapiens (human)
hsa04540	Gap junction - Homo sapiens (human)
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)
hsa04350	TGF-beta signaling pathway - Homo sapiens (human)
hsa04260	Cardiac muscle contraction - Homo sapiens (human)
hsa04012	ErbB signaling pathway - Homo sapiens (human)
hsa05162	Measles - Homo sapiens (human)
hsa04744	Phototransduction - Homo sapiens (human)
hsa05146	Amoebiasis - Homo sapiens (human)
hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)
hsa05321	Inflammatory bowel disease (IBD) - Homo sapiens (human)
hsa04114	Oocyte meiosis - Homo sapiens (human)
hsa05014	Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)
hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)
hsa04380	Osteoclast differentiation - Homo sapiens (human)
hsa03320	PPAR signaling pathway - Homo sapiens (human)
hsa05416	Viral myocarditis - Homo sapiens (human)
hsa04610	Complement and coagulation cascades - Homo sapiens (human)
hsa05030	Cocaine addiction - Homo sapiens (human)
hsa05222	Small cell lung cancer - Homo sapiens (human)
hsa05034	Alcoholism - Homo sapiens (human)
hsa04978	Mineral absorption - Homo sapiens (human)
hsa04962	Vasopressin-regulated water reabsorption - Homo sapiens (human)
hsa04916	Melanogenesis - Homo sapiens (human)
hsa05010	Alzheimer's disease - Homo sapiens (human)
hsa03460	Fanconi anemia pathway - Homo sapiens (human)
