Interaction ID	Uniprot1	Uniprot2	Name1	Name2	Entrez1	Entrez2	Ensembl1	Ensembl2	Method	Source	Pubmed ID	Method score	Annotation score	Total score	Confidence	Type	Pathway
527135.html	P19793	O15379	RXRA	HDAC3	6256	8841	ENST00000481739 [P19793-1]	ENST00000305264 [O15379-1]	direct interaction	biogrid	12943985	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04919
224238.html	Q86XR7	O00206	TICAM2	TLR4	100302736;353376	7099	ENST00000427199 [Q86XR7-1]	ENST00000355622 [O00206-1];ENST00000394487 [O00206-2]	direct interaction;physical association	intact	25736436;17258210;21903422;18221795	0.80263	0.6	0.693958211998388	High	Small-scale	hsa04064;hsa04620;hsa05133;hsa05161
519476.html	P25391	P05556	LAMA1	ITGB1	284217	3688	ENST00000389658	ENST00000302278 [P05556-1];ENST00000396033 [P05556-1];ENST00000423113 [P05556-5]	direct interaction	biogrid	9688542	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04151;hsa04510;hsa04512;hsa05145;hsa05200;hsa05222
400199.html	Q13976	Q9Y6F6	PRKG1	MRVI1	5592	10335	ENST00000373980 [Q13976-2];ENST00000373985 [Q13976-1]	ENST00000423302 [Q9Y6F6-7];ENST00000424001 [Q9Y6F6-6];ENST00000531107 [Q9Y6F6-9];ENST00000534266 [Q9Y6F6-6];ENST00000541483 [Q9Y6F6-8];ENST00000547195 [Q9Y6F6-6];ENST00000558540 [Q9Y6F6-6]	direct interaction;physical association	biogrid	11309393;10724174	0.70109	0.5	0.592068408209727	High	Small-scale	hsa04022;hsa04270
171133.html	P04899	P50150	GNAI2	GNG4	2771	2786	ENST00000266027 [P04899-6];ENST00000313601 [P04899-1];ENST00000422163 [P04899-5];ENST00000440628 [P04899-6];ENST00000451956 [P04899-3]	ENST00000366597;ENST00000366598;ENST00000391854;ENST00000450593;ENST00000484517;ENST00000634574;ENST00000635006;ENST00000635235;ENST00000635387;ENST00000635595	physical association	biogrid	26186194	0.3819	0.6	0.478685700642917	High	High-throughput	hsa04062
466325.html	Q9BW27	Q8NFH4	NUP85	NUP37	79902	79023	ENST00000245544 [Q9BW27-1]	ENST00000251074;ENST00000552283	physical association	intact	24315095;15146057	0.56901	0.9	0.715617914812087	High	Small-scale	hsa03013
35749.html	P02751	P05556	FN1	ITGB1	2335	3688	ENST00000323926 [P02751-7];ENST00000336916 [P02751-3];ENST00000354785 [P02751-15];ENST00000356005 [P02751-8];ENST00000357867 [P02751-10];ENST00000359671 [P02751-1];ENST00000421182 [P02751-9];ENST00000426059 [P02751-16];ENST00000432072 [P02751-13];ENST00000443816 [P02751-14];ENST00000446046 [P02751-17]	ENST00000302278 [P05556-1];ENST00000396033 [P05556-1];ENST00000423113 [P05556-5]	direct interaction;physical association;association	intact	19738201;26456826	0.63776	1	0.798598772851549	High	Small-scale	hsa04151;hsa04510;hsa04512;hsa05100;hsa05200;hsa05205;hsa05222
174057.html	P15498	P05107	VAV1	ITGB2	7409	3689	ENST00000596764 [P15498-2];ENST00000602142 [P15498-1]	ENST00000302347;ENST00000355153;ENST00000397850;ENST00000397852;ENST00000397857	physical association	intact	19234221	0.3819	0.6	0.478685700642917	High	Small-scale	hsa04650;hsa04670
204580.html	O43683	Q13257	BUB1	MAD2L1	699	4085	ENST00000302759 [O43683-1];ENST00000409311 [O43683-2];ENST00000535254 [O43683-3]	ENST00000296509 [Q13257-1];ENST00000333047 [Q13257-2]	direct interaction	biogrid	25669885	0.28934	0.6	0.41665813324595	High	Small-scale	hsa04114;hsa04914
199029.html	Q15173	B5BUA4	PPP2R5B	SGOL1	5526	151648	ENST00000164133 [Q15173-1]		direct interaction	hprd	16541025;16541024	0.40393	0.5	0.449405162409156	High	Small-scale	hsa04114
413865.html	Q96PM5	P04637	RCHY1	TP53	25898	7157	ENST00000324439 [Q96PM5-1];ENST00000380840 [Q96PM5-7];ENST00000505105 [Q96PM5-4];ENST00000507014 [Q96PM5-8];ENST00000512706 [Q96PM5-6];ENST00000513257 [Q96PM5-2]	ENST00000269305 [P04637-1];ENST00000420246 [P04637-2];ENST00000445888 [P04637-1];ENST00000455263 [P04637-3];ENST00000504290 [P04637-9];ENST00000504937 [P04637-7];ENST00000510385 [P04637-8];ENST00000610292 [P04637-4];ENST00000610538 [P04637-6];ENST00000617185 [P04637-2];ENST00000619485 [P04637-4];ENST00000620739 [P04637-4];ENST00000622645 [P04637-5]	direct interaction;physical association	intact	19043414;24367557;12654245;21791603;20452352;25116336;21988832;21084285;19483087;17568776	0.97018	0.6	0.762960025165146	High	Small-scale	hsa05162
394513.html	Q92985	O15111	IRF7	CHUK	3665	1147	ENST00000330243 [Q92985-4];ENST00000348655 [Q92985-2];ENST00000397566 [Q92985-4];ENST00000397574 [Q92985-1];ENST00000469048 [Q92985-3];ENST00000533182 [Q92985-3];ENST00000612534 [Q92985-4];ENST00000621391 [Q92985-1];ENST00000632827 [Q92985-4];ENST00000633274 [Q92985-3];ENST00000633943 [Q92985-2];ENST00000634105 [Q92985-3]	ENST00000370397	phosphorylation reaction	intact	18922877	0.41838	0.6	0.50102694538318	High	Small-scale	hsa04620;hsa05162
126183.html	P35968	P49767	KDR	VEGFC	3791	7424	ENST00000263923 [P35968-1]	ENST00000618562	direct interaction	dip	20145116;11332691	0.68334	1	0.826643816888507	High	Small-scale	hsa04014;hsa04015;hsa04060;hsa04151;hsa04510
82976.html	P04049	P17612	RAF1	PRKACA	5894	5566	ENST00000251849 [P04049-1];ENST00000442415 [P04049-2]	ENST00000308677 [P17612-1];ENST00000589994 [P17612-2]	direct interaction	hprd	11997508;9091312;11971957;10576742;9710607	0.57461	1	0.758030342400619	High	Small-scale	hsa01522;hsa04915
269050.html	Q9Y6K9	O00221	IKBKG	NFKBIE	8517	4794	ENST00000594239 [Q9Y6K9-1];ENST00000611071 [Q9Y6K9-1];ENST00000611176 [Q9Y6K9-3];ENST00000618670 [Q9Y6K9-2]	ENST00000275015	physical association	intact	14743216	0.3819	1	0.617980582219215	High	High-throughput	hsa04658;hsa04659;hsa04920
420139.html	P09619	Q06124	PDGFRB	PTPN11	5159	5781	ENST00000261799 [P09619-1]	ENST00000351677 [Q06124-2];ENST00000392597 [Q06124-3];ENST00000635625 [Q06124-1]	direct interaction;physical association;association	intact	8119896;8538796;8183548;7688466;12614164;11266449;23397142;7691811;7530043	0.92258	1	0.960510281048569	High	Small-scale	hsa04072
437251.html	P49918	O96020	CDKN1C	CCNE2	1028	9134	ENST00000414822 [P49918-1];ENST00000430149 [P49918-1];ENST00000440480 [P49918-2]	ENST00000308108 [O96020-1];ENST00000520509 [O96020-1]	direct interaction;physical association	intact	9840943	0.43029	0.8	0.586712876967942	High	Small-scale	hsa04110
