PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ABI1	interacts-with	CBL	NetPath	17395426	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_e8ed14586f7c40c044a5619e4f70a854
ABI1	interacts-with	EPS8	NetPath	10499589;11099046;11524436;14565974	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_d1905cc29f9fd9a6f9ad8fd6ea235427
ABI1	interacts-with	WASF2	NetPath	15541654	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_3faebd87d87c684ae7c61d7b0f8a789c
ABL1	interacts-with	DOK1	NetPath	11071635	KitReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_7bfe107b7059979e1c320f808ded2100
ABL1	interacts-with	TP73	NetPath	10391251;12070014	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/MolecularInteraction_485bf4e36c99c6cffbabc5cb0d6b29ee
ABL1	interacts-with	ZAP70	NetPath	7760813	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_bff00c58afe1e6dd82f12d72e5bc1cea
ACTA2	in-complex-with	ATP5C1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	CBLB	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	CBL	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	interacts-with	EGFR	NetPath	19531499	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_5d741c8cf90b42945d3167b30af2864d
ACTA2	in-complex-with	EGF	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	ERRFI1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	GRB2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	MT-CO2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	PIK3R1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	PIK3R2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	SHC1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	SNRPD2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	SOS1	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	SOS2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	UBB	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	VAV2	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTA2	in-complex-with	YWHAZ	NetPath			http://pathwaycommons.org/pc2/Complex_6966363cfbfb79d384bf2707bd9a36d5
ACTL6A	interacts-with	RELB	NetPath	14743216	TNFalpha	http://pathwaycommons.org/pc2/MolecularInteraction_b9e56bd80f0da46ec6f7fe32eda0862d
ACTN4	in-complex-with	NFKB1	NetPath			http://pathwaycommons.org/pc2/Complex_904ea7bf2aa438d15aa2bc4a8e0169c0;http://pathwaycommons.org/pc2/Complex_fc44ac03ea725ef31ee68b2db32af704
ACTN4	interacts-with	RELA	NetPath	18215660	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_471e7627a7670644df7ba86bda0d748b;http://pathwaycommons.org/pc2/MolecularInteraction_9e4bc26a09ecc1fa00c969ed51a16ca1
ACTR2	interacts-with	WAS	NetPath	19643989	KitReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_93bec2995fd6a174bf42e5d3d891dc80
ACTR2	in-complex-with	WIPF1	NetPath			http://pathwaycommons.org/pc2/Complex_39471281d55ac0844c00a0a38b63fd9e
ACVRL1	interacts-with	TGFB1	NetPath	10716993	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_105376ee69c68792e361d143c9d2190e
ACVRL1	interacts-with	TGFBR2	NetPath	10716993	TGF_beta_Receptor	http://pathwaycommons.org/pc2/MolecularInteraction_2938829795dba7ac77efb7421198384d
ADAM17	controls-state-change-of	NOTCH1	NetPath	10882063	Notch	http://pathwaycommons.org/pc2/BiochemicalReaction_bad943da21c7d6d875f542b25354fe72;http://pathwaycommons.org/pc2/Catalysis_0e7084ffac3400ffe8872bf8fb5827d6
ADAM17	controls-state-change-of	PTPRF	NetPath	16478662	EGFR1	http://pathwaycommons.org/pc2/Catalysis_0d1eb0559f8f2fe3800c7542897b0263;http://pathwaycommons.org/pc2/BiochemicalReaction_2cf77f38cece7a84bae0ac5ce53c2d26
AES	interacts-with	AR	NetPath	11416139;20163360	AndrogenReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_31b93142f1bd7914192bc5039d4cdc2e
AGAP2	interacts-with	PRLR	NetPath	20075866	Prolactin	http://pathwaycommons.org/pc2/MolecularInteraction_576e70305d5515963310f0f7f6d19985;http://pathwaycommons.org/pc2/MolecularInteraction_e85b25c01e32ca45f08c48f3ef7eb8b0
AGAP2	interacts-with	STAT5A	NetPath	20075866	Prolactin	http://pathwaycommons.org/pc2/MolecularInteraction_576e70305d5515963310f0f7f6d19985;http://pathwaycommons.org/pc2/MolecularInteraction_ee9782cdab335ab728821ac6127031b9
AHR	interacts-with	AR	NetPath	19815066	AndrogenReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_baa5137ee37e5eeba14dfe3436be88fb
AKAP8	interacts-with	RELA	NetPath	14743216	TNFalpha	http://pathwaycommons.org/pc2/MolecularInteraction_7d53d711ba381a7daf90d2ce2f04e95e
AKT1	in-complex-with	APPL1	NetPath			http://pathwaycommons.org/pc2/Complex_46ab6414edf2075641e2fc9ef76ab90f
AKT1	in-complex-with	ARHGEF4	NetPath			http://pathwaycommons.org/pc2/Complex_f5cf464feda7a2f8385fb5fab5b369c8
AKT1	controls-phosphorylation-of	AR	NetPath	14645548	AndrogenReceptor	http://pathwaycommons.org/pc2/Catalysis_adc17c3c43b094422657b63c212d9546;http://pathwaycommons.org/pc2/BiochemicalReaction_92985c5f17ba2bd8003eb5cdd0c9deb9
AKT1	controls-state-change-of	AR	NetPath	14645548	AndrogenReceptor	http://pathwaycommons.org/pc2/Catalysis_adc17c3c43b094422657b63c212d9546;http://pathwaycommons.org/pc2/BiochemicalReaction_92985c5f17ba2bd8003eb5cdd0c9deb9
AKT1	interacts-with	AR	NetPath	12621049	AndrogenReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_1f54fa2358e55c7ed36095876889b567
AKT1	interacts-with	AXIN1	NetPath	11278246	Wnt	http://pathwaycommons.org/pc2/MolecularInteraction_a9f481a7222112fe2268899cb972d9f9
AKT1	controls-phosphorylation-of	BAD	NetPath	10527852;9346240;9381178;9636168;9651683	Alpha6Beta4Integrin;IL3;KitReceptor	http://pathwaycommons.org/pc2/Catalysis_c48935ccc4e7601693490a543c0902cd;http://pathwaycommons.org/pc2/Catalysis_962b1f333f10716c5383c92ea30e3593;http://pathwaycommons.org/pc2/BiochemicalReaction_b890d3e66daeab1c536063d487d3055d;http://pathwaycommons.org/pc2/BiochemicalReaction_61bfe63fc401c36c699dc2d119504652;http://pathwaycommons.org/pc2/BiochemicalReaction_9f9af484034b5cd1066daa41a18cfdb4;http://pathwaycommons.org/pc2/Catalysis_62127b806ce2339ebd857fec1302e301
AKT1	controls-state-change-of	BAD	NetPath	10527852;9346240;9381178;9636168;9651683	Alpha6Beta4Integrin;IL3;KitReceptor	http://pathwaycommons.org/pc2/Catalysis_c48935ccc4e7601693490a543c0902cd;http://pathwaycommons.org/pc2/Catalysis_962b1f333f10716c5383c92ea30e3593;http://pathwaycommons.org/pc2/BiochemicalReaction_b890d3e66daeab1c536063d487d3055d;http://pathwaycommons.org/pc2/BiochemicalReaction_61bfe63fc401c36c699dc2d119504652;http://pathwaycommons.org/pc2/BiochemicalReaction_9f9af484034b5cd1066daa41a18cfdb4;http://pathwaycommons.org/pc2/Catalysis_62127b806ce2339ebd857fec1302e301
AKT1	interacts-with	BAD	NetPath	9651683	KitReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_c6fd6617d2a9d684724fe3b7cea2439b
AKT1	interacts-with	CC2D1A	NetPath	18662999	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_4de418fced1b6c5e6eac15dd5a200c5b
AKT1	controls-phosphorylation-of	CFLAR	NetPath	19339247	TNFalpha	http://pathwaycommons.org/pc2/Catalysis_4db1ac2eae42bc6235a8a90645933d46;http://pathwaycommons.org/pc2/BiochemicalReaction_1c9ec0acba53dc94f22e8e7732966721
AKT1	controls-state-change-of	CFLAR	NetPath	19339247	TNFalpha	http://pathwaycommons.org/pc2/Catalysis_4db1ac2eae42bc6235a8a90645933d46;http://pathwaycommons.org/pc2/BiochemicalReaction_1c9ec0acba53dc94f22e8e7732966721
AKT1	controls-phosphorylation-of	CHUK	NetPath	10485710;15483224;15538382	TNFalpha	http://pathwaycommons.org/pc2/BiochemicalReaction_9433ad15d31a785a542df1d493f88cc8;http://pathwaycommons.org/pc2/Catalysis_57a8f24091256620412f5cf7f556e648
AKT1	controls-state-change-of	CHUK	NetPath	10485710;15483224;15538382	TNFalpha	http://pathwaycommons.org/pc2/BiochemicalReaction_9433ad15d31a785a542df1d493f88cc8;http://pathwaycommons.org/pc2/Catalysis_57a8f24091256620412f5cf7f556e648
AKT1	interacts-with	CHUK	NetPath	17660512	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_5211a604d436a80318caadc7b1cfd6b7
AKT1	interacts-with	CREB1	NetPath	12519783	IL3	http://pathwaycommons.org/pc2/MolecularInteraction_19af5ced268daf2a3a8a9daea25881e1
AKT1	in-complex-with	DVL1	NetPath			http://pathwaycommons.org/pc2/Complex_f5cf464feda7a2f8385fb5fab5b369c8
AKT1	interacts-with	EGFR	NetPath	18662999	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_4de418fced1b6c5e6eac15dd5a200c5b
AKT1	interacts-with	EP300	NetPath	20333651	TNFalpha	http://pathwaycommons.org/pc2/MolecularInteraction_d4a95f0ca43afefe3af98d0a34fa928a
AKT1	controls-phosphorylation-of	FOXO1	NetPath	11030146;12904304	BCR;EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_bd137455f655e5cfce7a846bb4659182;http://pathwaycommons.org/pc2/Catalysis_3d1ab7eb60e27f65d55283962c14d084;http://pathwaycommons.org/pc2/Catalysis_343c16e04b00df3c60d9960b8a962589;http://pathwaycommons.org/pc2/BiochemicalReaction_badfaa57dcca494f651296e1d44300ae
AKT1	controls-state-change-of	FOXO1	NetPath	11030146;12904304	BCR;EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_bd137455f655e5cfce7a846bb4659182;http://pathwaycommons.org/pc2/Catalysis_3d1ab7eb60e27f65d55283962c14d084;http://pathwaycommons.org/pc2/Catalysis_343c16e04b00df3c60d9960b8a962589;http://pathwaycommons.org/pc2/BiochemicalReaction_badfaa57dcca494f651296e1d44300ae
AKT1	controls-phosphorylation-of	FOXO3	NetPath	11994454;15855272;17190839;19056725	IL2;IL3;KitReceptor	http://pathwaycommons.org/pc2/BiochemicalReaction_82faad869e8b09e41ae4a3d78b087dcb;http://pathwaycommons.org/pc2/Catalysis_f9c6f99bb52598113850aa7c83181fac;http://pathwaycommons.org/pc2/BiochemicalReaction_d385b34a09c2a1d7a992772cd772595c;http://pathwaycommons.org/pc2/Catalysis_64d2a8e24125a3b4e5c5811e118e9b3b;http://pathwaycommons.org/pc2/BiochemicalReaction_2b910a8eac3f5509570edf9acd7fb25b;http://pathwaycommons.org/pc2/Catalysis_debe6d3e890f36d5afebbef0c8471167
AKT1	controls-state-change-of	FOXO3	NetPath	11994454;15855272;17190839;19056725	IL2;IL3;KitReceptor	http://pathwaycommons.org/pc2/BiochemicalReaction_82faad869e8b09e41ae4a3d78b087dcb;http://pathwaycommons.org/pc2/Catalysis_f9c6f99bb52598113850aa7c83181fac;http://pathwaycommons.org/pc2/BiochemicalReaction_d385b34a09c2a1d7a992772cd772595c;http://pathwaycommons.org/pc2/Catalysis_64d2a8e24125a3b4e5c5811e118e9b3b;http://pathwaycommons.org/pc2/BiochemicalReaction_2b910a8eac3f5509570edf9acd7fb25b;http://pathwaycommons.org/pc2/Catalysis_debe6d3e890f36d5afebbef0c8471167
AKT1	controls-phosphorylation-of	FOXO4	NetPath	19376120	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_da7faa68e0c0e9e2dc7c908f3f7d8c36;http://pathwaycommons.org/pc2/Catalysis_03f7b15657e8fa745248b16144a54d80
AKT1	controls-state-change-of	FOXO4	NetPath	19376120	EGFR1	http://pathwaycommons.org/pc2/BiochemicalReaction_da7faa68e0c0e9e2dc7c908f3f7d8c36;http://pathwaycommons.org/pc2/Catalysis_03f7b15657e8fa745248b16144a54d80
AKT1	interacts-with	GCKR	NetPath	16914735	Wnt	http://pathwaycommons.org/pc2/MolecularInteraction_c1a13b7202b6c6ed33c724f946b4cd7c
AKT1	interacts-with	GRB10	NetPath	11809791	KitReceptor	http://pathwaycommons.org/pc2/MolecularInteraction_f1fbf7c78d0ba8f17eff0a8ad86ea738
AKT1	controls-phosphorylation-of	GSK3A	NetPath	10385529;15353558;15542837	BCR;IL-7;KitReceptor	http://pathwaycommons.org/pc2/Catalysis_8a051dd0c64a6a810a38e0b5e1189a95;http://pathwaycommons.org/pc2/BiochemicalReaction_0e40b6437f8e633209ac4927b65c56be;http://pathwaycommons.org/pc2/Catalysis_f4a9911e652433b2d098373d64b01165;http://pathwaycommons.org/pc2/BiochemicalReaction_fd660a90cb1fb7091a34990fa126fa73;http://pathwaycommons.org/pc2/Catalysis_4227b21a84c133d1067f6fdd6dcf3ba5
AKT1	controls-state-change-of	GSK3A	NetPath	10385529;15353558;15542837	BCR;IL-7;KitReceptor	http://pathwaycommons.org/pc2/Catalysis_8a051dd0c64a6a810a38e0b5e1189a95;http://pathwaycommons.org/pc2/BiochemicalReaction_0e40b6437f8e633209ac4927b65c56be;http://pathwaycommons.org/pc2/Catalysis_f4a9911e652433b2d098373d64b01165;http://pathwaycommons.org/pc2/BiochemicalReaction_fd660a90cb1fb7091a34990fa126fa73;http://pathwaycommons.org/pc2/Catalysis_4227b21a84c133d1067f6fdd6dcf3ba5
AKT1	controls-phosphorylation-of	GSK3B	NetPath	10385529;15353558;18523275;19166821	BCR;IL-7;Leptin	http://pathwaycommons.org/pc2/Catalysis_d15bea92188e78f0a2796274275c4e54;http://pathwaycommons.org/pc2/BiochemicalReaction_c8da39e55a44d31fb6353195d8e40479;http://pathwaycommons.org/pc2/BiochemicalReaction_ceaae99178f778a75755737952e43e88;http://pathwaycommons.org/pc2/Catalysis_26e598d69035efb7aab17def45033535;http://pathwaycommons.org/pc2/Catalysis_a8fa02b0db5e99251b1fd20b7acdf5ac
AKT1	controls-state-change-of	GSK3B	NetPath	10385529;15353558;18523275;19166821	BCR;IL-7;Leptin	http://pathwaycommons.org/pc2/Catalysis_d15bea92188e78f0a2796274275c4e54;http://pathwaycommons.org/pc2/BiochemicalReaction_c8da39e55a44d31fb6353195d8e40479;http://pathwaycommons.org/pc2/BiochemicalReaction_ceaae99178f778a75755737952e43e88;http://pathwaycommons.org/pc2/Catalysis_26e598d69035efb7aab17def45033535;http://pathwaycommons.org/pc2/Catalysis_a8fa02b0db5e99251b1fd20b7acdf5ac
AKT1	in-complex-with	GSK3B	NetPath			http://pathwaycommons.org/pc2/Complex_f5cf464feda7a2f8385fb5fab5b369c8
AKT1	interacts-with	GSK3B	NetPath	11278246	Wnt	http://pathwaycommons.org/pc2/MolecularInteraction_a9f481a7222112fe2268899cb972d9f9
AKT1	interacts-with	HSP90AA1	NetPath	15843522	IL2	http://pathwaycommons.org/pc2/MolecularInteraction_c5634fb91c6b922c1768d8c7d7e2b55b
AKT1	interacts-with	IKBKB	NetPath	17660512	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_2c67a10f98339dd15229a7d6f0d9441c
AKT1	interacts-with	IKBKG	NetPath	17660512	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_c42041cd5d8115ee0f70b1cfccbc2e41
AKT1	controls-phosphorylation-of	MST1R	NetPath	12919677	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/BiochemicalReaction_3bcf54cfbfcb3e6cbf19846e8eac945e;http://pathwaycommons.org/pc2/Catalysis_2a72e9e9ac22353b7217975c288da046
AKT1	controls-state-change-of	MST1R	NetPath	12919677	Alpha6Beta4Integrin	http://pathwaycommons.org/pc2/BiochemicalReaction_3bcf54cfbfcb3e6cbf19846e8eac945e;http://pathwaycommons.org/pc2/Catalysis_2a72e9e9ac22353b7217975c288da046
AKT1	interacts-with	MTOR	NetPath	17660512	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_115fa54256c6a9c095e0d24827a593a7
AKT1	in-complex-with	PDPK1	NetPath			http://pathwaycommons.org/pc2/Complex_47163e915d9727a49f5c0eda3c6d9f2c
AKT1	interacts-with	PDPK1	NetPath	18662999	EGFR1	http://pathwaycommons.org/pc2/MolecularInteraction_41738485599d3106170519596c2bf7e0
AKT1	interacts-with	PIK3R1	NetPath	16507111;16799564	Notch	http://pathwaycommons.org/pc2/MolecularInteraction_4d7da3e7c3093659efdb52d3479fc6d6
AKT1	interacts-with	PRKCQ	NetPath	11410591;7811263	TCR	http://pathwaycommons.org/pc2/MolecularInteraction_155b32744a70d4b286567f36a1c543c6
AKT1	controls-phosphorylation-of	RAF1	NetPath	10576742	EGFR1	http://pathwaycommons.org/pc2/Catalysis_e65cd9ccaa6aa501ae3ed5683489c22c;http://pathwaycommons.org/pc2/BiochemicalReaction_a57f1aaa5d1a093c5dd088b96d34686e
AKT1	controls-state-change-of	RAF1	NetPath	10576742	EGFR1	http://pathwaycommons.org/pc2/Catalysis_e65cd9ccaa6aa501ae3ed5683489c22c;http://pathwaycommons.org/pc2/BiochemicalReaction_a57f1aaa5d1a093c5dd088b96d34686e
AKT1	interacts-with	RELA	NetPath	20333651	TNFalpha	http://pathwaycommons.org/pc2/MolecularInteraction_d4a95f0ca43afefe3af98d0a34fa928a
AKT1	controls-phosphorylation-of	STAT1	NetPath	15284024	EGFR1	http://pathwaycommons.org/pc2/Catalysis_8937ef1217b24e4090655709499836e5;http://pathwaycommons.org/pc2/BiochemicalReaction_1fbdadfd7e871abc5288de4b8f3bd457
AKT1	controls-state-change-of	STAT1	NetPath	15284024	EGFR1	http://pathwaycommons.org/pc2/Catalysis_8937ef1217b24e4090655709499836e5;http://pathwaycommons.org/pc2/BiochemicalReaction_1fbdadfd7e871abc5288de4b8f3bd457
AKT1	interacts-with	STAT1	NetPath	17660512	Leptin	http://pathwaycommons.org/pc2/MolecularInteraction_046752f39ecfae7c2bcc2df5f5581cd1
AKT1	interacts-with	SYK	NetPath	19783684	IL4	http://pathwaycommons.org/pc2/MolecularInteraction_314bdcc47fcb8f78ce204e3077966720
AKT1	interacts-with	TCL1A	NetPath	19770358	BCR	http://pathwaycommons.org/pc2/MolecularInteraction_c7bd2f03cb69b71e2c9b4fd9cc6b8c5c
