From Resource A	To Resource B	Why?	Suggested By	Status	Website Res. A	Website Res. B
3D Slicer	RADIOMICS.io	Interactive interface to the command-line/batch processing tools	Andrey Fedorov	Exists		
3D Slicer	TCIA	Use 3D Slicer as an interface to access TCIA-hosted data	Andrey Fedorov	Ongoing		
Bioconductor	cBioPortal	Bioconductor Package of loading genomics and clinical data from the cBioPortal API	JJ Gao	Proposed		
Bioconductor	CIViC	Place statistically supported results into biological context	mtmorgan	Proposed		
Bioconductor	IGV	"Visualize (and update) computed results, like epivizr"	mtmrogan	Proposed		
Bioconductor	OmniSearch	A new set of cancer genomic analysis tasks that can be readily integrated with existing Bioconductor tools	Jingshan Huang	Proposed		
Bioconductor	OmniSearch	GEO data from Bioconductor through its AnnotationHub and ExperimentHub	Jingshan Huang	Proposed		
Bioconductor	NDEx	R client available as a Bioconductor package for programmatic access to the NDEx REST API	Rudi Pillich	Exists		http://www.ndexbio.org
BMEG	NDEx	Ingest network models into evidence graph	Josh Stuart	Proposed		http://www.ndexbio.org
BMEG	XNAT	Connect radiomics data with other biomedical evidence	Juli Klemm	Proposed		
C-BIBOP	3D Slicer	Quantitative image analysis tools are used in C-BIBOP to implement processing pipelines	Andrey Fedorov	Ongoing		
C-BIBOP	CaPTK	Integrate CapTk algorithms into C-BIBOP	Jayashree Kalpathy-Cramer	Proposed		
C-BIBOP	dcmqi	dcmqi provides converters used by C-BIBOP for normalizing data stored in research formats	Andrey Fedorov	Ongoing		
C-BIBOP	LesionTracker	Integrate Cornerstone viewer within C-BIBOP	Jayashree Kalpathy-Cramer	Proposed		
C-BIBOP	TCIA	Algorithm comparison on data hosted in TCIA	Jayashree Kalpathy-Cramer	Exists		
CaPTK	3D Slicer	Make CaPTk functionality available as Slicer Plugin	Christos Davatzikos	Ongoing		
CaPTK	dcmqi	Conversion of the analysis results into structured and standardized format	Andrey Fedorov	Ongoing		
CaPTK	LesionTracker	Integrate segmentation and radiomic features of CaPTk into LesionTracker	Christos Davatzikos	Proposed		
CaPTK	XNAT	Integrate CaPTk pipelines into XNAT workflows	Christos Davatzikos	Proposed		
cBioPortal	PDX Finder	Cross-linking the PDX samples in the two resources	JJ Gao	Proposed		
cBioPortal	UCSC Xena	Co-develop Javascript lib for survival analysis	JJ Gao	Proposed		
CDSA	CaPTK	Common python image feature set	Gutman/Cooper	Proposed		
CDSA	PDX Finder	Mouse phenotype histology portal	Gutman/Cooper	Proposed		
CDSA	RADIOMICS.io	Common python image feature set	Gutman/Cooper	Proposed		
CIViC	IGV	Provide CIViC variants as optional annotation track	Obi Griffith	Proposed		
CIViC	CRAVAT	Shows 3D structure location Variant annotation- 3D structures with variants	Mike Ryan	Exists		
CLAMP-Cancer	OmniSearch	Use CLAMP to develop literature mining pipelines	Hua Xu	Proposed		
CLAMP-Cancer	TIES	Use CLAMP NLP modules for TIES	Hua Xu	Proposed		
CRAVAT	Trinity	Variant annotation - 3D structure with variants	Brian Haas	Ongoing		
CRAVAT	UCSC Xena	Dynamic annotate mutations	Jingchun Zhu	Exists		
dcmqi	CaPTK	Integrate dcmqi functionality into CaPTk	Christos Davatzikos	Ongoing		
DICOM ToolKit (DCMTK)	3D Slicer	DCMTK is a library that implements low-level API for working with DICOM data	Andrey Fedorov	Exists		
DICOM ToolKit (DCMTK)	dcmqi	"dcmqi provides a set of abstractions to simplify data conversion of specific types of DICOM objects, is based on DCMTK"	Andrey Fedorov	Exists		
FHIR ShEx	CLAMP-Cancer	Integrating FHIR-based data model validation into the CLAMP pipeline	Guoqian Jiang	Proposed		
Galaxy-P multi-omics	CRAVAT	Single variant annotation page. Single variant query	Tim Griffin / Pratik Jagtap	Exists		
Galaxy-P multi-omics	IGV	For visualization of known and novel proteoform-specific peptides on the genome	Tim Griffin / Pratik Jagtap	Exists		
GenePattern	AMARETTO	Analytic modules in GenePattern to infer & benchmark regulatory networks (virus-induced cancer)	Nathalie Pochet	Proposed		
GenePattern	CRAVAT	Embed 3D visualizations within interactive genomics analysis notebooks	Michael Reich	Proposed		
GenePattern	NG-CHM	Enable sophisticated visualization and manipulation of heatmaps as steps within online analytical notebooks	Michael Reich	Proposed		
GenePattern	Trinity	Enable running Trinity CTAT modules from GenePattern	Brian Haas	Proposed		
HIVE (BioExpress)	TCPA	Map to Cancer-DO Slim and identify genes that have concordance of RNA-seq and protein chip data across cancers	Mazumder/Crichton	Proposed		
HIVE (BioMuta)	CIViC	"Link from OncoMX mutations to CIViC record, when available"	Mazumder/Crichton	Proposed		
IGV	OmniSearch	IGV genomics viewer for OmniSearch search and analysis results	Jingshan Huang	Proposed		
LesionTracker	3D Slicer	Integrate analysis tools implemented in 3D Slicer server-side with the visualization and annotation tools implemented in OHIF LesionTracker	Andrey Fedorov	Ongoing		
LesionTracker	dcmqi	Provide capability to use LesionTracker to visualize image analysis results converted into standardized DICOM representation using dcmci.	Andrey Fedorov	Exists		
CRAVAT	BMEG	Incorporate 3D variant visualization into BMEG browser's variants page	Ryan Spangler	Proposed		
NDEx	cBioPortal	Annotate network nodes with alteration data from cBioPortal	Dexter Pratt	Proposed	http://www.ndexbio.org	
