#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
intact:EBI-526084	intact:EBI-372128	uniprotkb:O54918-3	uniprotkb:Q9NP97	psi-mi:o54918-3|psi-mi:Bcl2l11|uniprotkb:Bcl2l11|uniprotkb:Bim|uniprotkb:Bcl2-interacting mediator of cell death|intact:EBI-7424890|intact:MINT-89475	psi-mi:dlrb1_human|psi-mi:DYNLRB1|uniprotkb:Q5TC72|uniprotkb:Q96IV3|uniprotkb:Q9NQM2|uniprotkb:B1AKR5|uniprotkb:DYNLRB1|uniprotkb:BITH|uniprotkb:DNLC2A|uniprotkb:HSPC162|uniprotkb:Dynein light chain 2A, cytoplasmic|uniprotkb:Dynein-associated protein Km23|uniprotkb:Bithoraxoid-like protein|uniprotkb:DNCL2A|uniprotkb:ROBLD1|uniprotkb:Roadblock domain-containing protein 1	psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Puthalakath et al. (1999)	pubmed:10198631|mint:MINT-5211354	taxid:10090(mouse)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-526268|intact:EBI-526131|intact:EBI-526288	intact-miscore:0.5079592
intact:EBI-1018806	intact:EBI-1307	uniprotkb:P21127-12	uniprotkb:Q13153	psi-mi:p21127-12|psi-mi:CDK11B|uniprotkb:PITSLRE serine/threonine-protein kinase CDC2L1|uniprotkb:PITSLREA|uniprotkb:PK58|uniprotkb:CDK11B|uniprotkb:CDC2L1|uniprotkb:CDK11|uniprotkb:Cell division cycle 2-like protein kinase 1|uniprotkb:Galactosyltransferase-associated protein kinase p58/GTA|uniprotkb:p58 CLK-1|uniprotkb:Cell division protein kinase 11B|uniprotkb:CDK11-p58	psi-mi:pak1_human|psi-mi:PAK1|uniprotkb:O75561|uniprotkb:Q13567|uniprotkb:Q32M53|uniprotkb:Q32M54|uniprotkb:Q86W79|uniprotkb:PAK1|uniprotkb:p21-activated kinase 1|uniprotkb:p65-PAK|uniprotkb:Alpha-PAK	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Chen et al. (2003)	pubmed:12624090	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-604045	intact-miscore:0.40116468
intact:EBI-1298	intact:EBI-1307	uniprotkb:P21127	uniprotkb:Q13153	psi-mi:cd11b_human|psi-mi:CDK11B|uniprotkb:O95265|uniprotkb:Q12817|uniprotkb:Q12818|uniprotkb:Q12819|uniprotkb:Q12820|uniprotkb:Q12822|uniprotkb:Q8N530|uniprotkb:Q9NZS5|uniprotkb:Q9UBJ0|uniprotkb:Q9UBQ1|uniprotkb:Q9UBR0|uniprotkb:Q9UNY2|uniprotkb:Q9UP57|uniprotkb:Q9UP58|uniprotkb:Q9UP59|uniprotkb:B7ZVY7|uniprotkb:J3KTL7|uniprotkb:J3QR29|uniprotkb:J3QR44|uniprotkb:PITSLRE serine/threonine-protein kinase CDC2L1|uniprotkb:PITSLREA|uniprotkb:PK58|uniprotkb:CDK11B|uniprotkb:Cell division cycle 2-like protein kinase 1|uniprotkb:p58 CLK-1|uniprotkb:Galactosyltransferase-associated protein kinase p58/GTA|uniprotkb:CDK11|uniprotkb:CDC2L1|uniprotkb:Cell division protein kinase 11B	psi-mi:pak1_human|psi-mi:PAK1|uniprotkb:O75561|uniprotkb:Q13567|uniprotkb:Q32M53|uniprotkb:Q32M54|uniprotkb:Q86W79|uniprotkb:PAK1|uniprotkb:p21-activated kinase 1|uniprotkb:p65-PAK|uniprotkb:Alpha-PAK	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Chen et al. (2003)	pubmed:12624090	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-604055	intact-miscore:0.40116468
intact:EBI-354758	intact:EBI-6305595	uniprotkb:P63102	uniprotkb:P53668	psi-mi:1433z_rat|psi-mi:Ywhaz|uniprotkb:P35215|uniprotkb:P70197|uniprotkb:P97286|uniprotkb:Q52KK1|uniprotkb:Q6IRF4|uniprotkb:Ywhaz|uniprotkb:Msfs1|uniprotkb:Protein kinase C inhibitor protein 1|uniprotkb:Mitochondrial import stimulation factor S1 subunit	psi-mi:limk1_mouse|psi-mi:Limk1|uniprotkb:Limk1|uniprotkb:Limk|uniprotkb:KIZ-1	psi-mi:"MI:0096"(pull down)	Birkenfeld et al. (2003)	pubmed:12323073|mint:MINT-5215773	taxid:10116(rat)	taxid:10090(mouse)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0471"(MINT)	intact:EBI-8535970	intact-miscore:0.43887317
intact:EBI-8643752	intact:EBI-519866	uniprotkb:Q8IVG9	uniprotkb:Q16611	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:bak_human|psi-mi:BAK1|uniprotkb:Q92533|uniprotkb:Q6I9T6|uniprotkb:C0H5Y7|uniprotkb:Apoptosis regulator BAK|uniprotkb:Bcl-2-like protein 7|uniprotkb:BAK1|uniprotkb:BAK|uniprotkb:BCL2L7|uniprotkb:CDN1|dip:DIP-935N	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643801	intact-miscore:0.40116468
intact:EBI-8643752	intact:EBI-77694	uniprotkb:Q8IVG9	uniprotkb:P10415	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:bcl2_human|psi-mi:BCL2|uniprotkb:P10416|uniprotkb:Q13842|uniprotkb:Q16197|uniprotkb:C9JHD5|uniprotkb:BCL2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643820	intact-miscore:0.40116468
intact:EBI-8643752	intact:EBI-78035	uniprotkb:Q8IVG9	uniprotkb:Q07817	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:b2cl1_human|psi-mi:BCL2L1|uniprotkb:Q5TE65|uniprotkb:Q92976|uniprotkb:Q5CZ89|uniprotkb:E1P5L6|uniprotkb:BCL2L1|uniprotkb:BCL2L|uniprotkb:BCLX|uniprotkb:Apoptosis regulator Bcl-X	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643890	intact-miscore:0.40116468
intact:EBI-8643752	intact:EBI-8643926	uniprotkb:Q8IVG9	uniprotkb:Q9UL32	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:q9ul32_human|psi-mi:BOK|uniprotkb:BOK|intact:MINT-265777	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643937	intact-miscore:0.40116468
intact:EBI-8643752	intact:EBI-2126349	uniprotkb:Q8IVG9	uniprotkb:Q9HD36	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:b2l10_human|psi-mi:BCL2L10|uniprotkb:Q8TCS9|uniprotkb:Q3SX80|uniprotkb:Q52LQ9|uniprotkb:BCL2L10|uniprotkb:BCLB|uniprotkb:Apoptosis regulator Bcl-B|uniprotkb:Anti-apoptotic protein NrH	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643908	intact-miscore:0.40116468
intact:EBI-8643752	intact:EBI-1003422	uniprotkb:Q8IVG9	uniprotkb:Q07820	psi-mi:hunin_human|psi-mi:MT-RNR2|uniprotkb:HN|uniprotkb:Humanin mitochondrial|uniprotkb:MT-RNR2|intact:MINT-265682	psi-mi:mcl1_human|psi-mi:MCL1|uniprotkb:Q9HD91|uniprotkb:Q9NRQ3|uniprotkb:Q9NRQ4|uniprotkb:Q9UHR7|uniprotkb:Q9UHR8|uniprotkb:Q9UHR9|uniprotkb:Q9UNJ1|uniprotkb:B2R6B2|uniprotkb:D3DV03|uniprotkb:D3DV04|uniprotkb:Bcl-2-related protein EAT/mcl1|uniprotkb:mcl1/EAT|uniprotkb:MCL1|uniprotkb:BCL2L3|uniprotkb:Bcl-2-like protein 3|dip:DIP-231N	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Guo et al. (2003)	pubmed:12732850|mint:MINT-5216369	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8643955	intact-miscore:0.40116468
intact:EBI-714158	intact:EBI-366083	uniprotkb:Q13526	uniprotkb:P04637	psi-mi:pin1_human|psi-mi:PIN1|uniprotkb:Q53X75|uniprotkb:A8K4V9|uniprotkb:Rotamase Pin1|uniprotkb:Peptidyl-prolyl cis-trans isomerase Pin1|uniprotkb:PIN1	psi-mi:p53_human|psi-mi:TP53|uniprotkb:Q15086|uniprotkb:Q15087|uniprotkb:Q15088|uniprotkb:Q16535|uniprotkb:Q16807|uniprotkb:Q16808|uniprotkb:Q16809|uniprotkb:Q16810|uniprotkb:Q16811|uniprotkb:Q16848|uniprotkb:Q86UG1|uniprotkb:Q8J016|uniprotkb:Q99659|uniprotkb:Q9BTM4|uniprotkb:Q9HAQ8|uniprotkb:Q9NP68|uniprotkb:Q9NPJ2|uniprotkb:Q9NZD0|uniprotkb:Q9UBI2|uniprotkb:Q9UQ61|uniprotkb:Q2XN98|uniprotkb:Q3LRW1|uniprotkb:Q3LRW2|uniprotkb:Q3LRW3|uniprotkb:Q3LRW4|uniprotkb:Q3LRW5|uniprotkb:TP53|uniprotkb:P53|uniprotkb:Tumor suppressor p53|uniprotkb:Phosphoprotein p53|uniprotkb:Antigen NY-CO-13|dip:DIP-368N	psi-mi:"MI:0096"(pull down)	Zheng et al. (2002)	mint:MINT-5215847|pubmed:12397361	taxid:9606(human)	taxid:9606(human)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-8551808|intact:EBI-8551826	intact-miscore:0.40116468
