PubChem ID	ChEBI ID
CID:9874913	CHEBI:91331
CID:10090485	CHEBI:137064
CID:252682	CHEBI:91224
CID:11338033	CHEBI:91326
CID:44137675	CHEBI:91359
CID:5311051	CHEBI:205919
CID:445154	CHEBI:27881
CID:3758	CHEBI:34795
CID:24864821	CHEBI:90626
CID:5881	CHEBI:28689
CID:3973	CHEBI:65329
CID:11626560	CHEBI:64310
CID:11754511	CHEBI:91357
CID:2733526	CHEBI:41774
CID:16722836	CHEBI:91408
CID:439456	CHEBI:16595
CID:16725726	CHEBI:90677
CID:11977753	CHEBI:71952
CID:49867936	CHEBI:90939
CID:6140	CHEBI:17295
CID:10184653	CHEBI:61390
CID:5312125	CHEBI:135929
CID:444795	CHEBI:15367
CID:5311102	CHEBI:5674
CID:16760382	CHEBI:4021
CID:778	CHEBI:17230
CID:10174505	CHEBI:71197
CID:3606	CHEBI:31669
CID:9840076	CHEBI:92015
CID:44257	CHEBI:59560
CID:2375	CHEBI:91617
CID:3038525	CHEBI:90528
CID:11957475	CHEBI:64057
CID:444899	CHEBI:15843
CID:11494412	CHEBI:91398
CID:16038120	CHEBI:91338
CID:121892	CHEBI:68584
CID:9910986	CHEBI:90998
CID:10077147	CHEBI:91439
CID:444098	CHEBI:30413
CID:24753719	CHEBI:94192
CID:36811	CHEBI:4670
CID:9809715	CHEBI:85164
CID:9865515	CHEBI:94525
CID:11712649	CHEBI:91366
CID:11960529	CHEBI:62880
CID:25126798	CHEBI:66919
CID:5280360	CHEBI:15551
CID:5755	CHEBI:8378
CID:11246488	CHEBI:91075
CID:91466	CHEBI:6700
CID:5284329	CHEBI:63053
CID:16224745	CHEBI:131165
CID:9549284	CHEBI:92211
CID:11282283	CHEBI:91389
CID:25260757	CHEBI:91364
CID:24905147	CHEBI:90679
CID:644241	CHEBI:52172
CID:2244	CHEBI:15365
CID:60198	CHEBI:4953
CID:16078973	CHEBI:79995
CID:9821849	CHEBI:68639
CID:439234	CHEBI:20612
CID:374536	CHEBI:94980
CID:25066467	CHEBI:62166
CID:4878	CHEBI:78331
CID:44139710	CHEBI:91365
CID:3081361	CHEBI:49960
CID:17513	CHEBI:28498
CID:11538455	CHEBI:94771
CID:123596	CHEBI:31690
CID:4091	CHEBI:6801
CID:448042	CHEBI:75393
CID:57339246	CHEBI:17553
CID:11970143	CHEBI:16412
CID:16220066	CHEBI:90692
CID:5328779	CHEBI:131968
CID:11167602	CHEBI:68647
CID:5997	CHEBI:16113
CID:448457	CHEBI:15555
CID:9823820	CHEBI:85994
CID:11485656	CHEBI:91435
CID:5287969	CHEBI:47344
CID:11717001	CHEBI:83405
CID:216239	CHEBI:50924
CID:24755492	CHEBI:16618
CID:148177	CHEBI:67272
CID:2787	CHEBI:31412
CID:10635	CHEBI:16330
CID:23625762	CHEBI:91442
CID:1174	CHEBI:17568
CID:6918289	CHEBI:79699
CID:222786	CHEBI:16962
CID:22386467	CHEBI:90620
CID:1135	CHEBI:17821
CID:707029	CHEBI:90371
CID:53245636	CHEBI:90686
CID:9933475	CHEBI:94782
CID:4210951	CHEBI:91107
CID:9886808	CHEBI:91395
CID:6106	CHEBI:15603
CID:4521392	CHEBI:91108
CID:9824562	CHEBI:94760
CID:5362124	CHEBI:3011
CID:3038522	CHEBI:90237
CID:46930998	CHEBI:67271
CID:25102847	CHEBI:72317
CID:24755494	CHEBI:17283
CID:160355	CHEBI:45307
CID:24826799	CHEBI:78543
